STD,F’S=0.1,F’S=0.2,F’S=0.8,F=0.3,F=1.2,F=1.8,I=0.1,I=0.2,I=0.8,E=0.1,E=0.3,E=0.4
0,0,0,0,0,0,0,0,0,0,0,0,0
57.65,80.6056266666668,80.78764,120.556093333334,34.252,72.242,119.022,126.4724,104.91864,170.49624,0,42.812,40.188
96.08,144.736418666667,142.545834666667,216.523645333333,54.33573,109.2404,180.8264,202.22888,174.685368,288.545488,0,60.2744,56.65893
119.296,194.756369066667,188.331668266667,292.191707733333,65.06955,125.18848,210.09168,255.370656,218.7764416,366.2645856,0,66.79595,62.19072
131.2252,233.695184213333,224.14847392,350.80349728,72.03306,133.87778,231.80562,286.3943072,242.23800192,407.85625472,0,74.12607,70.9246
143.45424,266.914270656,255.020335104,403.258134336,79.30585,152.20525,267.00146,308.97739264,259.796528704,437.652408064,0,90.42974,88.37773
160.08589,297.843850973867,286.170068471467,456.131419656533,90.28645,182.70861,321.48341,327.840739968,275.9125461248,463.8899725568,0,115.15649,115.01513
182.35803,328.82625099264,319.30638738176,513.40500413184,103.60379,226.87477,396.01897,345.7900265216,294.92945496576,493.31271612416,0,148.56258,150.56657
210.23878,361.989313726635,355.280264503979,576.265711424341,120.99672,282.30868,489.12248,364.00855329792,317.780040218112,526.248777736192,0,189.05581,192.07101
242.76936,397.156406277188,393.873637043814,642.38923644457,140.60544,347.32869,595.25029,383.432115963904,346.071539036774,563.74453877207,0,234.03568,239.74885
279.75163,433.890437334097,435.456420309557,710.915416240449,162.80576,419.71947,714.19655,404.852533852365,377.643955850978,605.154903301651,17.29891,282.66363,289.45197
321.2542,471.727995388925,478.647651470675,778.190023870338,187.30091,497.90163,840.71137,427.373329963256,412.06473897755,652.032128414744,38.22798,332.9852,341.2615
365.75117,511.364979877937,521.882454356048,846.327514688824,213.04,579.41622,975.10358,450.375572763123,447.343378965705,704.695646343282,60.67838,384.5751,393.03069
412.35107,553.383221720039,564.522994498677,915.068601045166,240.02018,664.55557,1114.58499,473.096180545275,485.571263588651,761.679794951607,84.00427,436.95739,444.47977
459.07045,598.281600319595,606.956063104279,985.611649813463,267.09737,753.28636,1260.65972,496.776750661678,525.848568510871,822.019328258978,107.30953,488.08516,496.05676
506.7343,645.059591074592,649.618118187258,1058.04714350506,294.77551,845.46039,1409.87094,521.052986241392,566.481606419905,883.894064642119,130.98576,539.25384,547.39531
554.31095,692.78953161217,693.111809591641,1130.83218533037,323.32658,936.94135,1558.62813,546.008347380616,607.457674986157,945.918918580217,154.98206,589.5798,599.57841
602.75905,740.355784537354,738.326292222445,1204.11429243375,351.77242,1025.87235,1702.92181,571.540666724402,649.631496281211,1008.51083664447,179.66656,640.1454,653.14941
651.164,786.230356563239,784.440593696152,1276.59238888616,380.90513,1113.35474,1843.03199,597.186202821004,693.401474253473,1072.76419104494,205.00272,690.65704,706.50023
698.63461,830.614521553451,830.543683850387,1347.50042959732,408.95418,1198.43742,1980.91276,623.199773909081,736.994234106939,1138.61324553788,230.45686,740.27249,759.8846
743.50972,871.636935623337,878.722495509307,1416.23032369669,436.99053,1285.85043,2121.31095,648.251595346015,779.950781672082,1204.33172731657,256.01492,788.29791,811.63163
787.57887,912.224251435358,926.000209205273,1480.17124399214,464.80761,1371.74957,2266.86674,674.104673851021,825.1826431558,1266.43323457089,281.01735,835.22608,863.52458
831.26772,951.176197411738,973.902180942915,1543.01074020443,494.31163,1459.812,2409.15754,700.523653839404,871.018324965579,1326.08323237749,305.22945,881.28346,917.25258
876.41932,990.298049769418,1020.4347846963,1607.05682350598,525.10918,1543.90431,2549.52686,727.400065538087,918.441833624274,1384.51953338968,329.17236,930.61391,969.44343
922.18741,1028.34814276957,1069.98169979451,1672.87593940875,554.96949,1630.63526,2683.05888,753.239143875501,963.77367171797,1440.79679315344,353.30336,977.89147,1020.09387
966.27134,1066.36386517446,1122.72893689816,1739.68031258294,582.96773,1712.99992,2820.43915,777.030241882716,1009.23474106845,1499.48150530862,379.96814,1025.34641,1067.59546
1011.04175,1104.06102825547,1178.95776733853,1804.55434373167,609.13945,1795.91904,2950.92161,800.710277151645,1053.79732255728,1557.47989969241,407.6773,1067.22624,1114.7592
1052.81262,1143.09893868599,1232.97031418067,1867.77935792959,635.6401,1874.67579,3081.39415,824.924503806876,1099.03405272515,1622.58452100021,435.60209,1108.2932,1161.49227
1094.12087,1183.07128672162,1287.62525630384,1927.27116699892,661.77458,1960.11097,3209.98515,852.765356191706,1145.88191505649,1684.78712413853,462.82888,1146.34922,1206.67163
1133.3367,1223.30400508152,1337.9747540969,1984.66453165237,692.23494,2043.24935,3343.29786,881.024371999718,1191.57683355633,1744.88656902774,489.65919,1185.70715,1253.65411
1172.14151,1260.90435169396,1389.44097541348,2039.04223306359,722.7539,2130.36406,3480.5786,909.080345638283,1238.60538972257,1795.70497863326,516.97061,1225.12327,1301.48648
1210.84564,1296.42429802176,1437.39811923541,2088.94177960986,754.41643,2209.31468,3612.49729,935.753343527601,1281.34608465578,1842.9125495322,543.34896,1268.47809,1348.04945
1247.64743,1328.51968994315,1486.82345892978,2137.24522920136,782.85273,2287.52775,3738.13718,961.603137833176,1322.34593487567,1890.57774563309,570.33692,1313.69894,1391.46185
1286.24862,1358.05409092632,1533.84528896637,2189.88182842891,810.0725,2359.66049,3873.54889,984.113696272154,1364.94604390629,1940.87829903306,597.56018,1357.41407,1432.79026
1323.42921,1386.97538284056,1579.12272291256,2243.50383819272,835.47038,2435.92965,4017.85921,1002.75576682107,1408.57603575639,2000.21544893323,625.65242,1399.3346,1475.73842
1363.08557,1416.91652142004,1620.99124237579,2298.28689332433,860.06058,2508.31003,4167.90362,1023.59029261864,1454.15805593254,2065.75098959326,651.11552,1436.99507,1518.4604
1404.05296,1448.39900751879,1660.32043305767,2354.27790630341,882.39152,2580.63994,4290.27457,1047.26361188795,1499.18645833779,2129.1355277053,675.52659,1475.8446,1559.52777
1445.6777,1477.91173245443,1703.18064175336,2412.59205325888,904.37575,2655.98199,4397.05764,1075.71518090131,1544.95454285406,2183.94554345971,700.70142,1514.67993,1600.68563
1482.99613,1509.23677466131,1746.62852162887,2471.51508524579,926.43879,2747.61638,4499.18844,1106.65615855785,1591.54184023837,2238.036454233,728.51826,1554.21691,1644.99735
1518.08477,1542.37966142315,1795.42613934312,2519.4418543676,948.51491,2852.41168,4598.37122,1139.28066789184,1634.07091661849,2291.64863953854,757.06719,1598.55804,1697.2246
1551.46618,1578.43858055022,1842.39390552773,2563.10114792268,970.54274,2953.39761,4714.53393,1169.65776528994,1672.77819137137,2343.13525875431,785.74012,1643.26699,1749.99906
1586.26019,1613.10827506134,1890.6009823075,2598.98702712472,991.16353,3033.55386,4824.90303,1195.04608663636,1706.96546159797,2385.17701965856,812.88443,1691.41034,1796.93273
1622.19527,1646.62333112231,1933.96928423372,2645.50739500948,1011.09325,3095.08229,4941.20939,1221.47117038526,1741.14037059387,2424.49069568258,842.04791,1736.64747,1844.67436
1659.54109,1676.8069479034,1970.97235997491,2691.77264442684,1030.87002,3158.41923,5044.74448,1245.08185140432,1777.07680643837,2458.14978306824,867.75947,1778.59023,1895.20942
1696.49727,1709.84068247181,2002.13330217506,2738.26443455393,1052.14466,3224.19231,5145.01278,1267.69300435792,1813.86907540645,2492.84633575016,895.38448,1825.29287,1955.39809
1725.75767,1741.07481940838,2035.03810576333,2775.01717579616,1074.48827,3294.61431,5239.37345,1284.06737115244,1844.14681636897,2531.26546376368,921.60179,1871.28862,2011.94283
1758.50099,1771.20506037604,2074.95858825434,2813.95541540335,1103.41192,3349.25332,5323.99925,1302.90447510207,1875.08681835508,2578.50259990278,948.67025,1921.69496,2072.82285
1796.60173,1798.02926929022,2114.0516454702,2858.09894490657,1129.73204,3409.06553,5403.09654,1325.5407692509,1906.23636694481,2625.9478527333,975.32741,1962.64205,2128.04114
1841.39545,1823.90664656231,2154.21476791947,2905.35971718832,1160.6316,3462.11244,5482.17823,1351.31540136038,1941.49853522447,2673.37211053693,1000.87601,2004.59524,2185.92651
1888.11914,1852.50470033064,2186.76806976468,2953.97861929741,1184.65714,3526.59436,5558.69663,1379.68228350999,1976.32416207202,2719.42508794279,1028.21789,2041.86808,2236.9594
1919.43344,1879.896,2204.892,2988.42046666667,1203.78667,3587.66655,5595.08256,1384.0434,1997.7478,2719.382,1037.71524,2070.34667,2270.53333
1946.21443,1920.84802666667,2237.12977333333,3030.74294666667,1233,3652.18255,5684.30466,1401.18576,2017.05676,2736.34404,1067.75956,2110.11733,2312.93467
1978.97662,1957.67876533333,2270.003328,3070.183776,1266.70933,3727.5484,5795.49838,1423.428232,2042.584552,2763.771448,1102.76728,2151.13813,2357.3816
1999.3864,1990.9013184,2303.85492693333,3102.79110453333,1302.29387,3780.43808,5945.58256,1445.0591984,2071.0099024,2793.3493376,1137.77836,2190.09643,2399.68459
2041.62168,2016.68931008,2336.81262432,3132.77406944,1326.88597,3851.5893,6092.13827,1464.82788608,2099.00453088,2821.12639712,1172.78223,2226.29225,2435.70124
2087.85162,2036.18075236267,2370.176483584,3158.33479479467,1348.1213,3936.89748,6233.66617,1487.505816896,2123.904526656,2845.477386944,1207.13512,2267.8564,2476.6985
2136.44466,2059.15530582187,2403.88079491413,3180.49086618027,1369.28679,4033.28935,6323.38289,1511.1291405952,2145.0634515072,2863.4929968128,1244.50647,2316.74173,2520.83461
2173.20926,2081.46983830357,2431.21309569963,3200.30289219499,1392.16695,4128.52937,6418.03181,1537.63939149824,2169.45523563264,2887.65231675136,1276.30132,2360.56496,2567.39462
2202.18078,2109.55632215842,2457.19308478942,3228.30917834172,1414.37608,4207.15574,6496.40494,1560.96010641869,2191.58337742797,2908.36930271283,1305.68456,2410.44,2605.13385
2228.62801,2134.4311920924,2484.30487609781,3268.82484077401,1429.26061,4297.22902,6597.10935,1583.07029958339,2219.47136261212,2934.04256389284,1329.47017,2456.77966,2640.39369
2254.11176,2166.5827961835,2518.57523217745,3310.60989715648,1445.946,4379.06895,6706.22486,1600.80448120042,2240.88258800802,2953.99261332114,1351.35395,2503.48927,2675.52684
2280.69795,2204.65742432185,2551.58366165505,3344.9307075861,1461.99332,4447.8516,6810.58884,1621.79135615676,2265.50843012403,2992.37327544279,1376.73782,2542.23245,2710.73877
2309.51194,2242.2573374344,2585.1874187665,3368.03588094851,1479.73987,4489.97611,6970.98474,1646.37156747143,2281.84584362641,3029.01741775277,1409.09135,2576.98968,2749.47446
2349.39198,2273.30624568458,2608.68118941764,3386.09107770692,1496.3653,4537.25754,7130.83672,1676.59898472564,2307.88649475009,3070.05837863912,1445.73884,2612.02309,2804.73065
2385.23078,2294.6766766238,2631.19669497016,3402.01248506442,1513.10637,4581.23873,7284.18629,1702.74051043941,2331.26610767531,3090.70139927839,1480.73904,2649.04789,2864.26235
2421.57455,2309.19987779501,2650.56988354423,3427.73913922093,1530.57967,4629.19125,7344.89266,1725.14629903301,2361.16016048508,3114.86019558349,1518.11858,2717.1262,2917.2866
2450.71107,2323.19193755043,2672.28228903621,3463.37075152374,1543.55587,4674.078,7355.42458,1741.70976189448,2380.83089363206,3148.24655897237,1551.24452,2782.54682,2957.13112
2481.60712,2345.58765640242,2693.10407451609,3507.0324048156,1555.11244,4731.54585,7367.97224,1764.8676121855,2406.98185082343,3185.05559091117,1584.59562,2862.4466,3001.97154
2528.51364,2370.8232121239,2712.95024604379,3536.56639126787,1564.08566,4788.51677,7403.10136,1788.083874816,2427.0021888911,3217.58666997671,1604.74103,2909.77735,3056.64187
2579.57415,2395.58213370526,2733.83450411198,3557.43485255003,1572.05829,4846.30452,7466.43672,1811.2966974003,2445.34444794291,3231.22469217757,1623.64033,2963.42346,3112.41068
2630.76756,2408.5496958325,2762.32325669782,3571.11667543025,1582.64746,4884.55626,7550.22962,1826.97651444326,2460.56096736679,3245.97851243086,1639.59927,2999.21883,3159.96518
2663.11834,2424.61165924089,2791.42119216196,3578.85406559606,1593.89315,4916.06416,7660.35527,1841.01104236871,2481.99272306195,3268.58488092169,1662.97092,3038.17379,3210.62984
2673.52718,2450.90623101468,2817.87919643862,3581.62924153859,1608.26012,4941.11608,7770.43898,1857.99391136239,2501.78837808576,3298.0909186705,1693.98704,3068.72386,3258.54034
2680.2791,2478.50353805111,2851.47438438678,3593.51375476026,1627.24932,4975.12805,7866.58085,1874.54739074622,2524.52386022954,3321.53139991844,1725.11459,3097.29153,3307.1887
2682.41126,2502.81124714649,2887.91568949842,3610.36435925977,1666.32056,5021.54083,7920.72596,1891.69666042173,2541.58608766306,3334.23670371779,1755.94333,3118.78174,3335.10047
2694.18807,2514.79825037285,2927.03498811037,3644.19204947067,1714.99931,5066.82578,7971.78336,1904.50921023359,2568.08362957852,3343.07586072723,1780.73458,3137.25999,3356.87917
2705.06987,2524.49052617054,2954.11910885509,3668.48970841276,1762.08264,5122.76532,8011.62387,1918.91957413106,2586.8695834483,3369.786752889,1807.25858,3149.45368,3375.68393
2736.00159,2540.11704864201,2983.80912605976,3694.81211157668,1792.30172,5174.81022,8070.20345,1951.78015687293,2621.18028260537,3398.37876272326,1838.02163,3152.1214,3398.33395
2767.26429,2571.02280829584,3010.44528698297,3715.64279066455,1815.62887,5226.40711,8145.18746,1987.7303462008,2657.19161321073,3457.41734312245,1870.47904,3154.62702,3420.55824
2813.10318,2605.73326472091,3033.77985594188,3739.08940711491,1832.07145,5254.63547,8223.30018,2032.68050061475,2696.60201916323,3500.61146116915,1902.02313,3159.32835,3440.46644
2845.82349,2637.44717460335,3048.7380019183,3757.58086622256,1848.0254,5269.30051,8288.51953,2061.2805693631,2721.57636647478,3546.26600085832,1923.17344,3161.90307,3474.22627
2887.73533,2655.59871453152,3061.26321157204,3767.42848133416,1861.5047,5264.9792,8331.68594,2088.59461399557,2749.1273171276,3556.0317324055,1942.61231,3175.62495,3533.22654
2918.26177,2669.70847116031,3068.21988269807,3768.95962951134,1879.12469,5276.04794,8388.96309,2104.14743667174,2775.31837672047,3557.50178665276,1967.03015,3199.41761,3590.64523
2944.94942,2678.83739713836,3076.10692552069,3766.75804883577,1891.81121,5292.99743,8470.25181,2117.09081013346,2810.86077876963,3549.49094381165,1990.00149,3238.38718,3628.06235
2975.09224,2684.5558003264,3087.05700164375,3772.12329566942,1909.87251,5315.60107,8551.06498,2127.62004936104,2835.30547109802,3552.69078609288,2014.52933,3261.33962,3635.69618
3011.95833,2694.92259949295,3100.70375876622,3791.7846955677,1928.22208,5331.3117,8604.08536,2137.5585718989,2856.68688997353,3555.59258598091,2042.92916,3282.79069,3646.77304
