STD,F’S=0.1,F’S=0.2,F’S=0.8,F=0.3,F=1.2,F=1.8,I=0.1,I=0.2,I=0.8,E=0.1,E=0.3,E=0.4
3053.56011,2705.0989732972,3122.65645874866,3815.62402491409,1956.03759,5359.37456,8639.05207,2146.43612425199,2863.96611221431,3561.41291441475,2069.61471,3302.4714,3670.11518
3087.85369,2715.68027455803,3142.72168350298,3841.64950409636,1974.8706,5405.12925,8666.34949,2154.38533923017,2871.58424043757,3550.78334007914,2091.03177,3333.03109,3704.93231
3116.83276,2724.11447623771,3164.70326845033,3858.97113246876,1989.86697,5447.69276,8688.80231,2163.04069269643,2879.57771053038,3543.15149089878,2113.40229,3380.94583,3738.43083
3151.98729,2735.85024349248,3176.81129705733,3880.39122064636,2005.23285,5454.6564,8698.65236,2173.21560638532,2907.81603019358,3556.33520619559,2136.90981,3443.10738,3760.2273
3192.31401,2752.82957061271,3186.15988643486,3900.01423062302,2020.37196,5453.96183,8707.31293,2184.47965981635,2932.72638814479,3597.60357941886,2162.63542,3508.12264,3772.48629
3227.61026,2770.64192282104,3205.09987669844,3916.39885025388,2037.53963,5453.21565,8714.41506,2195.16145324034,2956.97212366767,3651.36599712289,2175.23205,3550.35801,3820.36405
3247.73485,2800.08425868675,3231.73292595999,3929.24570950871,2042.53432,5473.5275,8734.06776,2205.66862261134,2983.77734236251,3688.58815530835,2186.14649,3578.40813,3820.32474
3257.81902,2825.20586296822,3264.20753386502,3929.34933861919,2054.16679,5485.74063,8761.71853,2215.74841517033,3039.25153320604,3708.62507048625,2194.74871,3596.66523,3873.22576
3267.46078,2851.64331766433,3286.97906529833,3934.66476962558,2065.09222,5506.74562,8798.37923,2224.60380755634,3099.95941511371,3717.82288515892,2201.80204,3610.52667,3932.13143
3293.20596,2860.68979612651,3300.41295983267,3948.93724831562,2078.07047,5541.28925,8821.54155,2231.97884454533,3140.44582966394,3722.93383112903,2209.53315,3620.61705,3992.6261
3315.28335,2878.59058275817,3307.2160450262,3966.72483025491,2087.8512,5588.59897,8825.90616,2257.53493042034,3161.55868895553,3720.27558325758,2216.84004,3629.34074,3920.10617
3335.94786,2893.5187024436,3308.53810763844,3978.29550904744,2097.33634,5640.76965,8833.41154,2292.31915499313,3175.67254372389,3712.44012287732,2235.84764,3643.63689,3948.03446
3344.09291,2915.7900854312,3307.94980603031,3979.95630483498,2108.99639,5694.43783,8831.23192,2339.61012404067,3194.19195764034,3702.39186290123,2256.74703,3658.62545,3945.12018
3349.56097,2931.50040680383,3305.52041020084,3980.45971979295,2118.28491,5750.49789,8843.00008,2377.87625808656,3202.52922495079,3690.30981688945,2288.74322,3677.33194,3949.98587
3361.56,2925.0078,3409.9322,4007.12086666667,2125.64,5829.23,8781.87779,2375.9598,3202.9984,3691.0124,2285.23126,3695.17333,3959.26667
3376.824,2936.05708,3437.14952,3997.01377333333,2131.508,5833.234,8840.12438,2383.60132,3187.156,3716.9932,2295.39456,3704.748,3956.86133
3404.9268,2945.37226933333,3456.097984,4034.53402133333,2137.71493,5812.1848,8864.32156,2395.686624,3174.35052,3740.08336,2313.84257,3710.4296,3951.3136
3428.80016,2957.81582986667,3483.5811408,4081.77265226667,2144.32992,5808.37576,8869.61272,2412.0979888,3186.698944,3766.227552,2338.4204,3715.54752,3946.72299
3613.09539,2987.91224650667,3512.04213162667,4152.25776138667,2150.36097,5841.40411,8861.50966,2435.92132256,3230.6295328,3790.4724224,2363.77648,3736.57409,3943.89532
3751.62911,3018.56357527467,3546.49362781867,4181.78850939733,2154.89018,5919.94797,8853.04648,2488.726262272,3283.46933536,3797.42223488,2382.26238,3800.46965,3952.14499
3763.6949,3049.7904576896,3571.97279188907,4216.4890141568,2157.40223,5998.86242,8834.73323,2545.9119169664,3321.315413632,3802.327171456,2401.28077,3863.58742,3966.6294
3787.6148,3058.56476659285,3598.12092394155,4229.52993137749,2156.87715,6051.75408,8827.57794,2598.77603584768,3329.3325897984,3807.8721212672,2413.13163,3912.72341,3968.77621
3864.81194,3079.16967152316,3625.67438316612,4238.00754910686,2153.27454,6069.8153,8824.98423,2660.48399056282,3329.21324068608,3801.68209854464,2424.25548,3919.7075,3973.50245
3868.13535,3092.5888476232,3635.4413680882,4228.92792276354,2158.91567,6067.60588,8834.63443,2718.08240528209,3320.21280609689,3794.42308396237,2429.95042,3922.99818,3968.74373
3846.83946,3104.74699716261,3653.4661235842,4246.23018770741,2165.65671,6096.67623,8834.44573,2776.62767916897,3309.09684935659,3776.87527650139,2448.66418,3921.85314,3979.6039
3822.94496,3100.0804622905,3674.59780500115,4265.49204876086,2178.33314,6141.84842,8808.33803,2797.09641689022,3295.0455710907,3759.07991209275,2468.69592,3923.54893,3993.22419
3828.50688,3094.08411855729,3714.98709238374,4287.84287396032,2183.61664,6216.49693,8858.57875,2811.74921921185,3282.56012408946,3737.29127771883,2489.49502,3933.85908,4027.38695
3833.34037,3085.04087616956,3762.91528614364,4277.3314112109,2191.94196,6271.96107,8875.00536,2815.9675272204,3270.67477903603,3717.82847796231,2497.16119,3944.9936,4020.8769
3843.21945,3093.17762561204,3810.70344903881,4261.54661703425,2222.79705,6320.8836,8828.53882,2817.21174928644,3261.2006206251,3716.24819113623,2538.90424,3950.01587,4059.80744
3849.26196,3102.97299368965,3863.47538703649,4239.9840323157,2252.76647,6351.06093,8869.73084,2820.09825530137,3250.12071993221,3722.02157381971,2583.83609,3942.04723,4036.89153
3848.54628,3117.99608386034,3900.52340721506,4218.25522320332,2283.6647,6360.78091,8948.07593,2823.22440091757,3256.81990811147,3761.54619299119,2630.47107,3930.32462,4049.96113
3838.41165,3116.82777551,3947.44406551698,4201.4696111038,2294.7049,6347.56037,9004.68335,2840.75693124379,3297.61976560873,3791.02979336218,2636.63443,3924.58637,4057.79187
3839.64159,3116.09473187407,3968.61780121307,4182.57339352809,2304.09259,6328.06026,9100.37386,2857.35466643228,3351.23357474404,3825.30143727067,2638.29411,3922.42753,4072.8386
3847.86065,3114.74112814348,3988.51468001268,4162.88102759304,2310.57816,6303.91612,9161.23344,2876.64671953521,3398.68230807056,3851.02448612656,2638.30871,3940.78145,4087.74743
3872.25045,3113.20446533684,3985.68146957848,4146.11131089089,2309.88615,6296.58728,9229.54346,2883.31867719351,3445.25281656292,3873.28142467944,2642.24356,3959.48713,4091.07187
3894.57222,3128.6864120294,3982.08620325157,4130.01022769679,2307.11153,6279.69268,9315.77738,2897.29747934575,3486.6426649267,3890.14542216121,2648.23345,3994.03238,4084.65186
3922.21453,3143.05813547325,3971.40784123267,4125.57740105087,2299.75154,6257.64799,9450.78617,2914.62963130784,3521.76073629792,3882.60560936814,2654.91814,4018.14923,4058.56608
3935.90735,3160.51420283386,3956.92178223018,4119.76728574953,2315.32461,6244.56013,9588.13471,2932.89782213071,3527.72432024491,3868.55444630587,2663.90337,4045.01499,4024.13159
3935.27438,3160.74776099476,3942.8368980259,4118.30269736008,2331.50056,6256.23362,9692.90618,2941.6278906877,3554.75465130856,3859.77425113481,2676.43736,4062.07818,4003.56087
3922.28635,3162.67968609906,3929.23870938455,4111.59175662192,2353.65037,6346.85075,9792.13018,2945.37154256369,3584.03143431071,3850.74597948812,2687.89115,4066.1973,4004.55982
3933.36214,3160.29011608543,3929.44476148209,4122.2206507964,2352.44885,6474.30887,9882.32927,2946.62428665027,3626.38885712385,3852.29028612459,2702.73817,4065.9671,4016.97881
3948.3797,3159.90658710357,3933.92033417333,4142.90890815033,2352.37184,6500.92393,9966.41389,2946.93356584279,3642.46369828692,3862.52349312254,2712.09897,4058.27821,4022.19573
3968.29837,3209.86796730446,3943.27599246442,4163.77233845601,2348.84947,6579.23856,9995.77063,2946.46397049862,3654.84015108215,3874.90699584943,2722.89053,4068.56106,4031.05624
3964.68561,3268.35287088161,3944.72823866088,4166.92400932127,2342.79626,6515.4245,9996.3589,2945.64990726828,3649.26040987381,3881.27033779439,2746.92091,4076.94652,4037.33839
3962.1468,3352.53012763721,3942.21781955839,4168.07702955545,2335.61448,6542.42461,9994.44791,2943.73717555338,3641.28175219119,3874.07170672876,2771.28529,4084.28018,4038.43359
3958.61648,3386.02655970376,3936.21485164386,4174.04796777534,2359.50081,6540.26182,9939.58336,2941.07581656432,3629.784072413,3866.22264890463,2795.66424,4110.22401,4049.77573
3956.60266,3416.7152974682,3929.74284090711,4181.06942613283,2396.17506,6527.22929,9969.52825,2940.02299842354,3620.32280492083,3861.60311112667,2803.11291,4160.67951,4069.32987
3962.09383,3419.28366476773,3934.40184517686,4184.2519054483,2442.68718,6521.19022,9923.24432,2939.28016299758,3610.24301546677,3857.63739200625,2815.42843,4228.4927,4075.30912
3959.8893,3456.05975244719,3954.43057721679,4179.33335964956,2469.59111,6550.1759,9912.27651,2939.10503228421,3607.62280407753,3859.7843406266,2824.63127,4270.94644,4074.6158
3954.04662,3492.59331010965,3976.69345781206,4175.48214635291,2487.47432,6580.06523,9933.32617,2938.27743905635,3607.33680390886,3857.62658652658,2831.68494,4288.0665,4085.20632
3939.43718,3541.0299058447,3995.51778033911,4168.95886120049,2498.76509,6593.94023,9897.64254,2938.44489426812,3643.14156159728,3857.34842543064,2832.88624,4286.18125,4107.18576
3932.44676,3564.20460319087,3999.35522096357,4230.58862817735,2494.59988,6586.29309,9931.11574,2942.49886666489,3678.58131310123,3852.81324239145,2835.38724,4297.29488,4104.76641
3936.72679,3584.95086180711,4009.87357359387,4298.98792454223,2486.35833,6580.63866,9943.07366,2945.73515218661,3717.44021493971,3854.24257356442,2837.32769,4308.67389,4101.3451
3941.38471,3646.83038633293,4014.05873224482,4375.60707054392,2475.74364,6547.37835,9927.85988,2948.2972037703,3727.51594560819,3849.52740319118,2837.06599,4326.83909,4105.64364
3946.07423,3697.56820962801,4019.82210116774,4387.04209235056,2485.90573,6502.2954,9931.50871,2984.04887119137,3731.55287210956,3847.35223535112,2838.90174,4326.74793,4123.48575
3934.44414,3750.75167919219,4013.34380668251,4388.88492591223,2500.54854,6539.92675,9946.79572,3032.46761499234,3729.59140354354,3844.77816770845,2845.36654,4318.2294,4140.11388
3918.65274,3748.5166044307,4005.51148823672,4380.54183031923,2517.57619,6593.63643,9964.38289,3091.11569723674,3737.45849513063,3845.71432061192,2868.17666,4310.77413,4147.74126
3898.56883,3744.20361672458,3995.88469898385,4366.92911124629,2513.44361,6539.80464,9964.15772,3116.8530624458,3743.28561973483,3868.80073766407,2900.28164,4300.11271,4166.65903
3895.49431,3731.65200423106,3986.69887744411,4352.6099483131,2505.55596,6493.48021,10028.93012,3131.93615193652,3755.73046297309,3892.09725165518,2937.06466,4302.28937,4191.50139
3905.76263,3719.37308419112,4002.40302195226,4335.92757191188,2495.95191,6456.94897,10073.13957,3137.43224287646,3757.08485654158,3914.66783786384,2964.14226,4301.32575,4126.25342
3930.60139,3707.98297768444,4037.77335321261,4318.87459737833,2489.25358,6437.67784,10147.53594,3147.16007896259,3760.25870390293,3910.77725790381,2981.56438,4300.43502,4164.30563
3935.32248,3701.88650570845,4081.86024836631,4298.45219385804,2488.72643,6428.21736,10142.85471,3155.44886436781,3756.61035208891,3932.31525915352,2998.01433,4284.06415,4168.26648
3937.14497,3697.65855224346,4118.69663166119,4278.41961850944,2488.68131,6423.78526,10156.83401,3168.42458076982,3749.63452080809,3958.80105762108,3014.45218,4264.32033,4169.81986
3918.12962,3694.51514477182,4143.41496216835,4257.37657535005,2493.09818,6417.6939,10149.49942,3174.05273897926,3742.36270310062,4015.14156779351,3035.72132,4234.19618,4166.12964
3853.77234,3706.0494,4111.64226666667,4307.2774,2469.87333,6435.13,10121.24232,3171.9208,3721.0504,3987.7308,3000.42532,4235.00667,4187.92
3863.45448,3691.85138666667,4103.15188,4308.21472,2472.30133,6531.944,10097.71218,3170.49572,3736.0878,3959.60456,3002.49355,4230.98133,4203.82267
3872.5956,3677.59945066667,4100.383136,4300.956184,2473.78693,6623.6068,10086.41316,3167.519704,3750.18128,3936.499312,3006.15616,4229.44293,4191.76987
3884.76072,3668.16212746667,4100.61330986667,4286.45460746667,2482.56965,6603.90216,10095.24832,3165.3054848,3752.373456,3914.1090144,3013.45292,4222.33019,4190.53984
3891.82126,3659.48227562667,4100.20292917333,4303.56458496,2488.22332,6585.19379,10143.95438,3160.58743776,3748.9145872,3900.50190528,3023.9949,4218.59996,4196.14994
3901.7664,3656.540173952,4095.30022114133,4323.55293181867,2505.31059,6550.21119,10191.16254,3156.118984512,3741.16324864,3887.552423936,3037.51257,4214.69803,4199.82596
3897.56753,3659.17978324907,4090.49027006293,4367.66726335573,2510.12545,6547.473,10234.14538,3151.7516844544,3730.549207168,3876.4451058432,3065.52449,4215.3716,4212.68318
3901.11679,3665.59195144021,4091.27307157419,4380.09846570155,2512.30588,6531.82884,10260.58359,3150.26053379328,3721.7701311616,3858.56974595584,3088.38041,4205.65926,4219.98983
3901.38686,3681.71030693786,4094.11764166076,4409.94957247812,2507.10493,6538.55237,10295.16779,3149.64084364954,3711.26750766592,3922.14121035981,3109.85398,4197.18484,4233.8226
3915.55073,3693.95441167561,4112.65511598032,4468.82470096927,2501.7675,6524.16824,10306.37228,3151.19667548855,3700.64916776551,4000.14243126312,3111.31988,4203.68082,4236.38382
3903.83752,3704.98023705603,4132.45619152821,4531.92728135614,2503.32649,6536.93612,10303.03001,3178.84590382762,3688.14497508629,4095.98496832458,3118.45777,4228.41846,4241.79595
3907.72765,3703.161556413,4156.23256816838,4584.30615646508,2500.03746,6513.41287,10253.10246,3210.53891586324,3680.62246857036,4116.81571991755,3135.57853,4260.19852,4235.12395
3904.46303,3698.62765202714,4171.71272527265,4588.81178089758,2506.69146,6492.3618,10192.24849,3247.93736393818,3702.33112873132,4125.84437764842,3150.78026,4280.0354,4234.40531
3919.08814,3690.88446835469,4183.60336535487,4590.6500141392,2504.43112,6461.64693,10103.79219,3256.74165596028,3729.36435946032,4118.0622595132,3153.34476,4289.89212,4240.72719
3915.96023,3683.70838407637,4201.2928581255,4585.78678567402,2506.77652,6415.99375,10075.83014,3260.83020397968,3758.24873763834,4127.46556743233,3144.84822,4286.83084,4230.18117
3930.25967,3681.16253048621,4216.99088469607,4575.83778662931,2500.79353,6371.52014,10013.04647,3281.90077198799,3761.65825941974,4132.8958053891,3145.36155,4279.72326,4224.40365
3942.89398,3690.89814291251,4235.59172189765,4570.49067446067,2497.99934,6321.59478,10019.29732,3304.91859519355,3765.63303941162,4149.11051456429,3145.76491,4264.82282,4223.0715
3960.58073,3712.04609467975,4250.72482798541,4565.63078555133,2489.44391,6314.31498,10084.39076,3331.30827343632,3762.96989976628,4143.04350399067,3149.09829,4254.75455,4216.71623
3951.94494,3740.99880751845,4260.24561664328,4563.88138533573,2508.04065,6305.17395,10038.45962,3334.05977372596,3759.87422783557,4135.36704371098,3146.19564,4242.49414,4216.91221
3944.65514,3766.88427377297,4265.7603955924,4559.00686084408,2527.71558,6317.48979,10078.39207,3337.63400943245,3751.54646552037,4114.40234954034,3145.88179,4239.0284,4220.28036
3930.87002,3803.10990959162,4262.6355091138,4552.0367425693,2552.63658,6351.12475,10009.59234,3338.34715663169,3744.47777867119,4110.83611865026,3149.93849,4237.54984,4228.65985
